,Ten,Hinh,Gia,MoTa,TheLoai,YeuThich
155,Hài táo,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-hai/hai-tao-1.jpg,150000,"Hài táo hay hài đài trong tự nhiên có nhiều ở khu vực quảng bình, lá dài đẹp có sức sống rất tốt.Tên khoa học  P. appletonianum",S? Ki?n,
156,Hài hiệp,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-hai/hai-hiep-1-1.jpg,150000,Lan hài hiệp phân bố chủ yếu ở phía bắc được tìm thấy nhiều ở vùng núi tuyên quang,Khai Tr??ng,
157,Hài Charles worthii,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-hai/hai-charlesworthii-3.jpg,250000,"Lan hài Charles worthii trong tự nhiên phân bố tại Thái lan, myanma, ấn độ . Chúng thường được tìm thấy trong bóng râm, với rễ bám chặt vào các tảng đá",Chia Bu?n,
158,Hài gấm,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-hai/hai-gam-1-1.jpg,100000,"Lan hài gấm đã thuần tại vườn miền bắc, một chậu có từ 3 đến 5 cây. Cây đang phát triển rất khỏe",Chia Bu?n,
159,Trầm trắng lai trầm ám,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/lai/trang-lai-am/tram-trang-lai-am-3-1.jpg,320000,"Được lai từ 2 giống trầm nổi tiếng, mặc dù là hàng lai nhưng là hàng đài nên tỷ lệ ra bông đẹp rất cao. Cây năm 2 rất mập và khỏe. ",T�Enh Y�Eu,
160,Trầm tím đài loan,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/tram-tim-dai/tram-tim-hang-dai-1-2.jpg,250000,Trầm tím thuần mới về. được lựa chọn nhân giống từ những bông trầm rừng đẹp. Giò từ hai mầm trở lên đang phát triển rất khỏe ,20/11,
161,Hoàng thảo hoa trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/hoa-trang/hoang-thao-hoa-trang-3-1.jpg,200000,"Đây là tên em gọi tạm thôi còn tê chính thức của nó là Den Lovely white, đây là hàng thái. Năm 2 có nhiều thân, đang bám gỗ. hoa trắng họng xanh",H?i Ngh?,
162,Kiều vuông,https://hoalanhuyanh.com/userfiles/image/gio-lan/kieu/kieu-vuong-1-1.jpg,180000,"Em có mấy chậu kiều vuông đẹp, trông chậu nhựa giá thể gỗ, cây rất đẹp . Chậu có 6,7 thân.",H?i Ngh?,
163,"Phi điệp trắng, hàng thái",https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/phi-diep-trang-thai-1-1.jpg,300000,"Phi điệp trắng tuyền hay giả hạc trắng. Cây đang phát triển tốt, hiện tại cây con đang lên có thể hoa bói năm sau, mặt hoa như hình. Phong lan phi điệp trắng tuyền có giá rẻ hơn lan rừng rất nhiều",V?n Ph�Eng,
164,Đai châu giống thái,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/cay-giong/dai-chau-la-thuong-cay-giong-hinh-nho.jpg,23000,"Bán đai châu tại hà nội, hàng thái. Giao hàng từ 10 cây. Hiện tại cây đang chậu nhựa nhỏ, phát triển tốt có 2,3 cặp lá tùy cây.",Gia ?�Enh,
165,Cát tum hồng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/cattum-1-1.jpg,240000,Đây là cây mới nên tại việt nam em chưa thấy cộng đồng nào đặt tên chính thức cho nó. Tên bên đài là clowesia grace dunn,Trong S�Eng,
166,Hoàng thảo đơn cam thái,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/don-cam/don-cam-thai-3-1.jpg,200000,"Đơn cam thái ghép bảng gỗ, bán theo giò. Bông to nhưng hơi nhạt so với đơn cam rừng, đã trồng tại vườn năm 2, dễ chăm sóc, dễ ra hoa. Hoa đầu hè",?am M�E Huy?n B�E,
167,Phi điệp blue,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/gia-hac/phi-diep-blue-3-1.jpg,240000,"Màu này sẽ rất khó thây trong tự nhiên, ngay cả hàng công nghiệp cũng không có nhiều. Hoa màu blue, cây dài, thân khá to phát triển nhanh",Ti?c C??i,
168,Tiểu hồ điệp lá biên,https://hoalanhuyanh.com/userfiles/image/hoa-tet/ho-diep-la-bien/ho-diep-la-bien-2-1.jpg,230000,"Hồ điệp lá phát tài, tròn đẹp vô cùng ý nghĩa trong những ngày đầu năm, làm quà tặng hoặc đặt trong nhà để may mắn ngày tết đều được. Cây thuộc dòng mini vòi hoa ngắn, hoa nở chùm rất đẹp",Khai Tr??ng,
169,Chậu hoa hồ điệp tết,https://hoalanhuyanh.com/userfiles/image/hoa-tet/chau-ho-diep/chau-ho-diep-tet-3-1.jpg,100000,"Bán các chậu hồ điệp tết loại 1 , để làm quà tặng, trang trí văn phòng, nhà ở, biệt thự, các địa điểm tổ chức sự kiện trong năm mới – Chất lượng tốt nhất - Nhập từ Đài Loan - Thế nào là Hồ Điệp Loại 1 ?",H?i Ngh?,
170,Trầm 6 mắt lai trầm hồng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/tram-6mat-hong/hoa-tram-6-mat-lai-tram-hong-1-1.jpg,230000,"Chưa xổ hoa lần nào, kết hợp 2 loại trầm nổi tiếng 6 mắt mặt bông đẹp, độc, lạ và trầm hồng hương thơm cực đậm. Hoa xổ",Gia ?�Enh,
171,Giả hạc hồng tuyền,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/5ct-dai/gia-hac-hong-tuyen-3-1.jpg,220000,"Giả hạc bông hồng tuyền (semi pink), cánh hồng dịu nhẹ nhàng, họng mầu đậm hơn, mặt hoa rất xinh. Cây mô hàng đai",H?i Ngh?,
172,Trầm bảo bảo,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/2017/4n/hinh-hoa-tram-bao-bao-1.jpg,450000,,Gia ?�Enh,
173,Nghệ tâm đột biến lá,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/nghe-tam/anh-nho-nghe-tam-bach-kim.jpg,300000,"Nghệ tâm đột biến lá bạch kim, hàng đài. Hàng dành riêng cho các bác thích sưu tầm bộ lá (hàng hiếm), cây nhỏ nhưng rất khỏe.",H?i Ngh?,
174,"Trầm tím giò to, đẹp",https://hoalanhuyanh.com/userfiles/image/gio-lan/tram-tim/tram-tim-gio-to-dep-2-1.jpg,750000,"Thân mập, to rất khỏe đang bám bảng gỗ. Hàng trầm tím rừng được trồng thuần tại vườn. Cây vẫn tiếp tục phát triển, hoa mùa sau.",H?i Ngh?,
175,Hài chó đốm,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-hai/lan-hai-cho-dom-1-1.jpg,80000,"Bán theo cây, một chậu có từ 2 đến 3 cây đã thuần tại vườn miền bắc. Hoa khá to và đẹp, được nhiều người chơi hài yêu thích.",C�E T�Enh,
176,Hoàng thảo kèn hàng Thái,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/ken/anh-nho-hinh-hoa-lan-ken.jpg,200000,"Hoa lan hoàng thảo kèn nổi tiếng với màu tím đẹp và phom hoa bắt mắt, hoa mùa xuân . Đây cũng là loại lan khó thuần nhưng được rất nhiều người chơi lan tìm kiếm",C�E T�Enh,
177,Hưng thịnh – hoa chúc mừng,https://vietflower.vn/wp-content/uploads/2017/02/hưng-thịnh-hoa-chúc-mừng-1.jpg,1620000,"Kệ hoa khai trương hưng thịnh với nét độc đáo có đôi phần khác lạ, điểm nhấn với 2 cành lan hồ điệp, làm bật lên sự đẳng cấp tuyệt đỉnh. Rất phù hợp cho hoa khai trương hoành tráng, sang trọng, lễ kỉ niệm, ngày thành lập, lễ khánh thành. Kệ hoa chúc mừng này cũng thích hợp tặng lễ hội họp…Dịch vụ điện hoa chỉ có tại Vietflower :",Gia ?�Enh,
178,Lan hồ điệp – bất khuất,https://vietflower.vn/wp-content/uploads/2017/04/CF324__04323.1448249057.500.500-370x480.jpg,1180000,"Lan là loài hoa cao quý mà bất cứ một tín đồ yêu hoa nào cũng không thể từ chối quyền sỡ hữu chúng. Vì nguyên nhân này nên shop hoa tươi hôm nay muốn giới thiệu đến một loại lan hồ điệp mang tên bất khuất. Chắc trong ai cũng sẽ thắc mắc một loài hoa thường sẽ yếu đuối mỏng manh nhưng tại sao lại mang trong mình cái tên mạnh mẽ như vậy. Những suy nghĩ cổ hũ như trông mặt mà bắt hình dong đã không còn đúng trong thời buổi hiện nay nữa. Tuy lan hồ điệp nhìn mỏng mang như vậy nhưng bên trong nó mà một sức mạnh tìm ẩn mạnh mẽ, một sức sống căng tràn như chính cái tên bất khuất nó mang trong người vậy. Bởi vì trong cuộc sống này, nếu không bất khuất, không mạnh mẽ thì không thể tồn tại. Hãy như lan hồ điệp bất khuất để không bị cuộc sống vùi dập. ",Gia ?�Enh,
179,Lan hồ điệp – duy nhất,https://vietflower.vn/wp-content/uploads/2017/04/C29-4882__08478.1417292007.500.500-370x480.jpg,350000,None,?am M�E Huy?n B�E,
180,Lan hồ điệp – không ngại,https://vietflower.vn/wp-content/uploads/2017/04/CF525__36336.1473632081.500.500-294x480.jpg,1100000,"E thẹn đúng bản chất mỏng manh của những đóa hoa lan hồ điệp mang tên ngại ngùng này. Giống với những loài lan hồ điệp mạnh mẽ như bất khuất, đây cũng là loại lan mà rất nhiều người mong muốn được sở hữu. Tuy mang trong người cái tên hơi yểu điệu thục nữ ngại ngùng giống như vẻ đẹp của một người con gái đẹp thanh tao toát ra. Nhưng sức sống của nó cũng không thể nào có thể phủ nhận được. Một sức sống mạnh mẽ, căng tràn. Nếu bạn đang muốn mua hoa tặng bạn gái nhân ngày sinh nhật thì lan hồ điệp ngại ngùng này là một loại hoa sinh nhật không tồi. Người được tặng sẽ xó cảm giác là được là một người quan trọng trong cuộc sống của bạn. Họ sẽ có cảm giác mình được là một người con gái đẹp, đầy hấp dẫn và cũng thật mạnh mẽ và lôi cuốn. Chính những điểm đáng yêu đó sẽ mang bạn và người ấy đến gần nhau hơn.",Chia Bu?n,
181,Lan hồ điệp – Vhđ001,https://vietflower.vn/wp-content/uploads/2017/03/1-piece-orchids-in-vase-4-450x600-370x480.jpg,680000,None,Ti?c C??i,
182,Lan hồ điệp – VHĐ0010,https://vietflower.vn/wp-content/uploads/2017/04/1-piece-orchids-in-vase-37-450x600-370x480.jpg,250000,None,Gia ?�Enh,
183,Lan hồ điệp – VHĐ0011,https://vietflower.vn/wp-content/uploads/2017/04/1-piece-orchids-in-vase-38-450x600-370x480.jpg,250000,None,H?i Ngh?,
184,Lan hồ điệp – VHĐ0012,https://vietflower.vn/wp-content/uploads/2017/04/1-piece-orchids-in-vase-41-450x600-370x480.jpg,480000,None,Chia Bu?n,
185,Lan hồ điệp – VHĐ002,https://vietflower.vn/wp-content/uploads/2018/04/lopdayhoccamhoatuoi-370x480.jpg,1850000,None,V?n Ph�Eng,
186,Lan hồ điệp – VHĐ003,https://vietflower.vn/wp-content/uploads/2017/04/1-piece-orchids-in-vase-7-450x600-370x480.jpg,480000,None,V?n Ph�Eng,
187,Lan hồ điệp – VHĐ004,https://vietflower.vn/wp-content/uploads/2017/04/1-piece-orchids-in-vase-10-450x600-370x480.jpg,260000,None,Trong S�Eng,
188,Lan hồ điệp – VHĐ005,https://vietflower.vn/wp-content/uploads/2017/04/1-piece-orchids-in-vase-14-450x600-370x480.jpg,720000,None,20/11,
189,Lan hồ điệp – VHĐ006,https://vietflower.vn/wp-content/uploads/2017/04/1-piece-orchids-in-vase-17-450x600-370x480.jpg,1680000,None,H?i Ngh?,
190,Lan hồ điệp – VHĐ007,https://vietflower.vn/wp-content/uploads/2017/04/1-piece-orchids-in-vase-25-450x600-370x480.jpg,1260000,None,Sinh Nh?t,
191,Lan hồ điệp – VHĐ008,https://vietflower.vn/wp-content/uploads/2017/04/1-piece-orchids-in-vase-31-450x600-370x480.jpg,980000,None,Gia ?�Enh,
192,Lan hồ điệp – VHĐ009,https://vietflower.vn/wp-content/uploads/2017/04/1-piece-orchids-in-vase-36-450x600-370x480.jpg,1550000,None,T�Enh B?n,
193,Lan hồ điệp -VHLĐ029,https://vietflower.vn/wp-content/uploads/2017/02/lan-ho-diep-0011.jpg,1350000," Lan hồ điệp tại vietflower.vn, giá luôn luôn ổn định, cung cấp cho các shop hoa, ưu tiên các doanh nghiệp mua nhiều, giá ổn định quanh nămDịch vụ điện hoa chỉ có tại Vietflower :",Ti?c C??i,
194,Lan hồ điệp 0019,https://vietflower.vn/wp-content/uploads/2018/08/lanhodiepvietflower-370x400.jpg,750000,None,T�Enh B?n,
195,Lan hồ điệp VFl023,https://vietflower.vn/wp-content/uploads/2018/08/999_lan-ho-diep.jpg,1320000,"Lan hồ điệp, hiện nay khi nhu cầu tặng hoa tăng cao, thì lan hồ điệp là một trong những loài hoa được hay tặng nhiều nhất, vì nó luôn luôn sang trọng và có độ bềnh lâu.Để đặt mua lan hồ điệp hãy gọi 0933387393(zalo-viber)",C�E T�Enh,
196,Lan Hồ Điệp VFL024,https://vietflower.vn/wp-content/uploads/2018/08/123_lan-ho-diep-vang.jpg,1100000,None,C�E T�Enh,
197,Lan hồ điệp VHĐ0012,https://vietflower.vn/wp-content/uploads/2018/07/lanhodiepdailoan-370x400.png,2400000,None,T�Enh B?n,
198,Lan hồ điệp VLĐ0013,https://vietflower.vn/wp-content/uploads/2018/07/lanhodiepmautrang-370x400.jpg,750000,None,Gia ?�Enh,
199,Lan Hồ Điệp VLĐ0014,https://vietflower.vn/wp-content/uploads/2018/07/Lanhodiep-370x400.jpg,1150000,None,T�Enh B?n,
200,Lan hồ điệp VLĐ0015,https://vietflower.vn/wp-content/uploads/2018/08/lanhodiepvld0015-370x400.gif,2200000,None,Trang Tr?ng,
201,Lan hồ điệp VLĐ0016,https://vietflower.vn/wp-content/uploads/2018/08/lanhodiepvld0016-370x400.jpg,780000,None,Trang Tr?ng,
202,Lan hồ điệp VLĐ0017,https://vietflower.vn/wp-content/uploads/2018/08/lanhodiepchau1canh-370x400.jpg,300000,None,T�Enh B?n,
203,Lan hồ điệp VLĐ0018,https://vietflower.vn/wp-content/uploads/2018/08/lanhodiep2canh-370x400.jpg,580000,None,T�Enh Y�Eu,
204,Lan hồ điệp VLĐ0020,https://vietflower.vn/wp-content/uploads/2018/08/lahodiepvang-370x400.png,1760000,None,T�Enh B?n,
205,Lan hồ điệp VLĐ0021,https://vietflower.vn/wp-content/uploads/2018/08/lanhodiephong-370x400.jpg,1100000,None,Khai Tr??ng,
206,Lan hồ điệp VLĐ0021,https://vietflower.vn/wp-content/uploads/2018/08/chaulanhodiep-370x400.jpg,2560000,None,Gia ?�Enh,
207,Lan hồ điệp VLĐ0022,https://vietflower.vn/wp-content/uploads/2018/08/lanhodiepgiaretphcm-370x400.jpg,1320000,None,V?n Ph�Eng,
208,Rộng lớn – hoa sinh nhật,https://vietflower.vn/wp-content/uploads/2017/02/3189_big-love.jpg,1280000,"Tình yêu thương mênh mông, rộng lớn như biển cả, lẵng hoa phối hợp tất cả những tông màu đầy tính sắc sảo và đẳng cấp. Thích hợp tặng sinh nhật, chúc sức khỏe,",Ti?c C??i,
209,Thiên thần – hoa sinh nhật,https://vietflower.vn/wp-content/uploads/2017/02/4615_only-one.jpg,900000,"Xuất hiện ra trước mắt ta là loài hoa lan hồ điệp cao cấp, chứng tỏ được đẳng cấp riêng biệt khi trao tặng, cảm thấy được trâng trọng nhiều hơn nữa, tình cảm ấy khiến cho người nhận khó quên. Bó hoa sinh nhật cao cấp này phù hợp tặng sinh nhật người yêu, sinh nhật đồng nghiệp, sinh nhật người thân.Dịch vụ điện hoa chỉ có tại Vietflower :",H?i Ngh?,
210,Vũ điệu thiên thần – hoa sinh nhật,https://vietflower.vn/wp-content/uploads/2017/02/4691_ngau-nhien.jpg,1250000,"Đó là sự kết hợp tinh tế các loại hoa yểu điệu, tạo sự lãng mạn nhẹ nhàng, êm đềm, trao nhau nhừng tình thương đầm ấm, bằng sự phối hợp các loại hoa lan cao cấp như: lan hồ điệp, lan vũ nữ, thêm vào đó là màu xanh của Green wicky, sản phẩm mang đầy tính nghệ thuật và tinh tế. Kệ hoa rất thích hợp làm hoa sinh nhật sếp, sinh nhật đồng nghiệp, sinh nhật người thân, mừng sức khỏe ba, mẹ…Dịch vụ điện hoa chỉ có tại Vietflower :",Trang Tr?ng,
211,Vươn cao – hoa chúc mừng,https://vietflower.vn/wp-content/uploads/2017/02/ShowItemSubImage-1-370x480.jpg,1550000,"Kệ hoa khai trương ” vươn cao” được thiết kế tinh tế từ các loại hoa tươi cao cấp Lan hồ điệp, lily, đồng tiền đỏ, mokara vàng. Theo phong thủy màu đỏ rất thích hợp cho hỷ sự, lễ hội..Kệ hoa tao một sự nghiêm túc đặc biệt mà shop hoa tươi vietflower.vn muốn gởi đến khách hàng. Mẫu hoa chúc mừng này rất phù hợp làm hoa khai trương tặng đối tác, hoặc lễ khánh thành, lễ kỉ niệm…Dịch vụ điện hoa chỉ có tại Vietflower :",T�Enh Y�Eu,
